Country, Navy
China,777
Russia,605
United States,484
Colombia,450
North Korea,450
Sweden,316
Indonesia,296
India,295
Thailand,292
Sri Lanka,275
Finland,246
Egypt,245
South Korea,234
Algeria,201
Italy,184
France,180
Bolivia,170
Turkey,156
Japan,155
Myanmar,155
Mexico,154
Iran,142
Spain,139
Chile,133
Nigeria,133
Kuwait,123
Morocco,121
Greece,120
Taiwan,117
Pakistan,114
Bangladesh,112
Brazil,112
Vietnam,109
Portugal,107
Philippines,93
Lebanon,86
Poland,86
Qatar,86
Malaysia,82
Germany,80
United Arab Emirates,79
United Kingdom,75
Denmark,74
Israel,67
Iraq,63
Peru,63
Canada,61
Netherlands,61
Cameroon,60
Saudi Arabia,57
Honduras,55
Bahrain,48
Norway,48
Argentina,47
South Africa,47
Venezuela,46
Romania,45
Georgia,44
Australia,43
Syria,43
Angola,40
Paraguay,40
Singapore,40
Tunisia,40
Laos,39
Ukraine,38
Yemen,35
Croatia,34
Dominican Republic,34
Ecuador,30
Turkmenistan,30
Bulgaria,29
Cambodia,27
Jordan,27
Guatemala,25
Nicaragua,25
Azerbaijan,24
Kenya,23
Oman,22
Eritrea,20
Ghana,20
Panama,20
Albania,19
Cuba,19
Tanzania,19
Latvia,18
Sudan,18
Suriname,18
Uruguay,18
Belgium,17
Democractic Republic of the Congo,16
Serbia,16
Kazakhstan,15
Montenegro,13
Lithuania,11
Gabon,10
Ivory Coast,10
Sierra Leone,10
Ireland,9
New Zealand,9
Madagascar,8
Mozambique,8
Namibia,8
Uganda,8
Libya,7
Estonia,6
Liberia,6
Republic of the Congo,6
Mauritania,5
El Salvador,4
Somalia,3
Slovenia,2
Bosnia and Herzegovina,0
Iceland,0
Afghanistan,0
Armenia,0
Austria,0
Belarus,0
Bhutan,0
Botswana,0
Burkina Faso,0
Central African Republic,0
Chad,0
Chezh Republic,0
Ethiopia,0
Hungary,0
Kosovo,0
Kyrgyzstan,0
Luxembourgh,0
Mali,0
Moldova,0
Mongolia,0
Nepal,0
Niger ,0
North Macedonia,0
Slovakia,0
South Sudan,0
Switzerland,0
Tajikistan,0
Uzbekistan,0
Zambia,0
Zimbabwe,0
